user,item,position,weight
1,2858,0,1.7143856573248082
1,1210,1,1.3629124373202106
1,480,2,1.2457348390861134
1,1196,3,1.2353099349529748
1,593,4,1.2161844243178923
1,589,5,1.1838471855515464
1,1198,6,1.1829280324083549
1,110,7,1.1401378362261023
1,2997,8,1.062739928590038
1,858,9,1.047157784489302
2,260,0,1.3241667406322983
2,2997,1,1.0991446573718673
2,1617,2,1.0740370780978092
2,527,3,1.0698339418291625
2,1270,4,1.0564275308900093
2,858,5,1.050366842627371
2,2628,6,1.0373581857281398
2,608,7,1.0371403714899288
2,1197,8,1.0253738087637363
2,2762,9,0.997318336323172
3,2028,0,1.2951534024351312
3,110,1,1.206825359994653
3,589,2,1.1780118721935484
3,2997,3,1.1182870035878625
3,1270,4,1.11200884215384
3,527,5,1.097203200192692
3,1617,6,1.0710756602196156
3,858,7,1.054288265614602
3,608,8,1.0511227606484603
3,2571,9,1.0446343913346483
4,2858,0,1.7211357531302127
4,593,1,1.1994804084758024
4,110,2,1.1627264365479646
4,2997,3,1.16086596128777
4,1270,4,1.153059364777958
4,589,5,1.1517497073512946
4,858,6,1.0945901122038706
4,1617,7,1.0838451550099606
4,527,8,1.0629352776264511
4,2628,9,1.0378803250002244
5,1210,0,1.421898313536477
5,260,1,1.3257181879470414
5,1196,2,1.2587466910971372
5,480,3,1.2094838217592994
5,589,4,1.202138508040285
5,1198,5,1.1565725951611854
5,110,6,1.1454445101215565
5,527,7,1.0843411715154438
5,1270,8,1.0797907315217306
5,1197,9,1.0430548473171388
6,260,0,1.402255483134516
6,1196,1,1.285155151910085
6,480,2,1.2418645384172733
6,2028,3,1.2285546390568896
6,593,4,1.2033441161593057
6,110,5,1.1930765803581609
6,589,6,1.1764066596268452
6,1198,7,1.1435614521209274
6,1270,8,1.1409056930895185
6,2997,9,1.102542948026889
7,2858,0,1.6645704202219784
7,260,1,1.3929646908976074
7,1210,2,1.362099770837582
7,593,3,1.1454761120422572
7,1198,4,1.1243291026850253
7,2997,5,1.104671491828624
7,608,6,1.0969878688879542
7,527,7,1.096851059720848
7,1617,8,1.0633871725403157
7,858,9,1.055428805922554
8,260,0,1.3363501391279822
8,1198,1,1.2462520268972623
8,593,2,1.2053608622968908
8,1196,3,1.1564080907752126
8,1270,4,1.133802358788332
8,2997,5,1.068707193421596
8,858,6,1.0382395189867415
8,2762,7,1.0258085639840897
8,356,8,1.0256979493269562
8,1197,9,1.0091702976046906
9,260,0,1.318198548756622
9,1196,1,1.2717651585370482
9,480,2,1.2279076553912944
9,589,3,1.1566729026290163
9,110,4,1.150730550482079
9,1270,5,1.1202913534624042
9,1198,6,1.1123815486480366
9,2997,7,1.0792920070087484
9,858,8,1.0716519321254652
9,2628,9,1.028373129784866
10,1196,0,1.258330565483547
10,2028,1,1.2373481370890926
10,593,2,1.18334173315295
10,527,3,1.0581275509339827
10,608,4,1.0561684755420908
10,1617,5,1.05496153115186
10,2571,6,1.029971485017647
10,318,7,0.9975285528040352
10,1193,8,0.9785151763428876
10,1097,9,0.9509535265034176
11,1210,0,1.3756470354425618
11,260,1,1.3430469336808653
11,2028,2,1.2479124176106935
