user,item,position,weight
1,2396,0,-4.2443867
1,2858,1,-4.2844167
1,1210,2,-4.492371
1,1,3,-4.5950108
1,1198,4,-4.6484814
1,912,5,-4.6524725
1,1196,6,-4.654949
1,1265,7,-4.656441
1,356,8,-4.6941476
1,34,9,-4.71414
1,920,10,-4.7979827
1,318,11,-4.960545
1,2355,12,-4.9913096
1,593,13,-5.00787
1,1230,14,-5.110788
1,1136,15,-5.111298
1,858,16,-5.1201644
1,110,17,-5.158178
1,2716,18,-5.2001085
1,899,19,-5.2504044
2,527,0,-4.348151
2,858,1,-4.744217
2,608,2,-4.756173
2,150,3,-4.9320183
2,1704,4,-4.970112
2,1183,5,-4.971523
2,296,6,-4.9965153
2,1617,7,-5.061756
2,1233,8,-5.1130877
2,1674,9,-5.1176214
2,1393,10,-5.124308
2,1221,11,-5.149327
2,1721,12,-5.157635
2,377,13,-5.184437
2,1094,14,-5.1845145
2,912,15,-5.3066244
2,260,16,-5.3441114
2,1358,17,-5.385538
2,17,18,-5.4287434
2,1242,19,-5.4648776
3,589,0,-4.556648
3,1270,1,-4.583786
3,110,2,-4.6309233
3,2028,3,-4.644418
3,2000,4,-4.694224
3,2628,5,-4.697999
3,1036,6,-4.757268
3,457,7,-4.763624
3,2571,8,-4.801198
3,1240,9,-4.8285255
3,1610,10,-4.909538
3,2406,11,-5.0365896
3,2916,12,-5.054682
3,380,13,-5.078497
3,1220,14,-5.0907354
3,592,15,-5.095895
3,1387,16,-5.134542
3,1101,17,-5.1703553
3,2001,18,-5.1862097
3,356,19,-5.203623
4,589,0,-3.9009485
4,858,1,-4.1008673
4,1240,2,-4.149807
4,2571,3,-4.2361884
4,110,4,-4.2457714
4,1221,5,-4.271113
4,1200,6,-4.4569907
4,1270,7,-4.516348
4,2858,8,-4.667419
4,1304,9,-4.6934576
4,2628,10,-4.711001
4,457,11,-4.748748
4,1197,12,-4.7526135
4,593,13,-4.7774706
4,1193,14,-4.795644
4,1036,15,-4.8335176
4,527,16,-4.8356843
4,1291,17,-4.8593183
4,1127,18,-4.898411
4,541,19,-4.906902
5,3160,0,-4.639471
5,223,1,-4.970281
5,1673,2,-5.1914005
5,3174,3,-5.4219093
5,3007,4,-5.4702682
5,2396,5,-5.480691
5,3129,6,-5.497223
5,778,7,-5.5658402
5,1354,8,-5.5708976
5,2966,9,-5.5866375
5,247,10,-5.5980606
5,1041,11,-5.6277246
5,2575,12,-5.632645
5,2336,13,-5.6379805
5,527,14,-5.6794167
5,233,15,-5.6992188
5,2712,16,-5.719128
5,1358,17,-5.7392273
5,3317,18,-5.76163
5,3052,19,-5.769744
6,356,0,-4.478463
6,1265,1,-4.630689
6,1721,2,-4.862313
6,357,3,-4.881114
6,539,4,-4.9361434
6,11,5,-5.0036554
6,2080,6,-5.0720253
6,920,7,-5.0787144
6,3114,8,-5.116056
6,919,9,-5.144911
6,2424,10,-5.160384
6,597,11,-5.1656704
6,1028,12,-5.178089
