user,item,position,weight
1,1,0,9.21326
1,1704,1,8.87266
1,595,2,8.19396
1,593,3,6.659019
1,1210,4,6.4865427
1,910,5,5.94311
1,2355,6,5.842338
1,2396,7,5.677637
1,1282,8,5.421399
1,588,9,5.1976495
1,2716,10,5.1458836
1,918,11,5.0424776
1,1230,12,5.004494
1,356,13,4.77511
1,318,14,4.7267466
1,1196,15,4.5663047
1,2565,16,4.494784
1,1136,17,4.47482
1,1947,18,4.0999413
1,2858,19,4.052066
2,527,0,16.818064
2,150,1,16.10301
2,608,2,12.0873995
2,1580,3,11.55176
2,1961,4,11.458339
2,1233,5,11.028753
2,2352,6,10.471936
2,1704,7,10.036858
2,3006,8,9.888136
2,1097,9,9.561141
2,597,10,9.550484
2,1231,11,9.46627
2,1299,12,9.400995
2,1302,13,8.628949
2,912,14,8.425886
2,1393,15,8.29557
2,25,16,8.293634
2,1358,17,8.215684
2,733,18,8.0857525
2,2763,19,7.8429556
3,2916,0,20.856262
3,2628,1,18.416569
3,2987,2,18.202408
3,1259,3,16.759632
3,592,4,16.663336
3,919,5,16.62154
3,1127,6,14.093588
3,349,7,13.681397
3,1097,8,13.513074
3,1073,9,13.409997
3,3175,10,13.405416
3,2406,11,11.400269
3,380,12,11.028331
3,1356,13,10.789562
3,1262,14,9.862902
3,2968,15,9.350836
3,1275,16,9.059948
3,1376,17,8.860709
3,1374,18,8.83655
3,1287,19,8.647533
4,858,0,53.981544
4,589,1,48.661457
4,1304,2,38.29351
4,1221,3,37.903767
4,457,4,36.57868
4,2571,5,36.206783
4,1197,6,35.835052
4,1240,7,35.686398
4,110,8,34.125797
4,1036,9,32.412262
4,1200,10,31.93863
4,1291,11,28.867054
4,969,12,27.3377
4,1953,13,26.142965
4,1610,14,25.391747
4,1193,15,22.074997
4,1287,16,21.520987
4,2194,17,21.294027
4,2529,18,19.860313
4,1242,19,19.267195
5,2396,0,32.40603
5,1265,1,30.879938
5,1094,2,28.80644
5,527,3,26.70404
5,1179,4,25.870363
5,1673,5,25.197422
5,1358,6,24.368984
5,1,7,23.647469
5,1641,8,22.034943
5,2336,9,21.264585
5,247,10,20.528477
5,778,11,20.24134
5,3160,12,20.095135
5,223,13,19.77011
5,1041,14,19.618582
5,246,15,18.763296
5,1188,16,18.66133
5,3114,17,18.43809
5,235,18,17.939753
5,337,19,17.382719
6,919,0,13.761447
6,1028,1,12.438139
6,2080,2,9.452387
6,1307,3,9.322944
6,594,4,8.522289
6,2087,5,7.8509746
6,899,6,7.66012
6,1022,7,7.4147806
6,1721,8,7.252633
6,356,9,6.720711
6,2565,10,6.2335463
6,920,11,5.671096
6,73,12,5.618121
6,1265,13,5.585303
6,2394,14,5.553622
6,3244,15,5.4467883
6,1029,16,5.3166866
6,2671,17,5.2165394
6,2096,18,5.1468105
6,2078,19,4.8915057
7,1370,0,60.65582
7,1573,1,57.427948
7,380,2,56.126434
7,3256,3,53.47426
7,349,4,52.813126
7,1210,5,52.532024
7,260,6,48.49291
7,593,7,44.397026
7,2628,8,44.062614
7,2058,9,43.781464
7,780,10,43.586327
7,2763,11,40.314457
7,1608,12,37.144802
7,2858,13,37.011898
7,21,14,36.824936
7,1198,15,36.56966
7,527,16,36.26369
7,1408,17,35.899063
7,1527,18,34.018288
7,3107,19,33.762722
8,593,0,63.74712
8,318,1,57.41272
8,1784,2,39.431854
8,32,3,36.32801
8,590,4,36.252796
8,300,5,35.9783
8,1183,6,35.80253
8,34,7,34.178196
8,2959,8,33.982674
8,1094,9,33.79346
8,1584,10,33.47494
8,3176,11,33.153137
8,778,12,31.598318
8,1358,13,31.344854
8,2997,14,28.852127
8,3160,15,28.736935
8,1617,16,28.16469
8,1729,17,26.847095
8,515,18,26.446167
8,356,19,25.964098
9,296,0,223.6218
9,2396,1,175.66719
9,2997,2,173.38765
9,110,3,157.8831
9,34,4,132.46788
9,356,5,132.3597
9,589,6,123.558716
9,36,7,90.58509
9,3418,8,86.45834
9,1196,9,85.561325
9,858,10,85.41509
9,2329,11,84.86278
9,32,12,83.27407
9,590,13,82.1004
9,1193,14,80.77455
9,480,15,78.942696
9,2268,16,78.88014
9,1641,17,76.851974
9,260,18,76.09064
9,2321,19,75.77313
10,1097,0,44.048
10,595,1,38.8752
10,2406,2,38.829975
10,1196,3,36.528442
10,2797,4,36.247765
10,1073,5,36.11831
10,1569,6,33.53005
10,1136,7,32.384502
10,2141,8,32.06192
10,39,9,31.023502
10,34,10,30.513203
10,1035,11,30.49387
10,2096,12,30.35259
10,440,13,28.927263
10,527,14,28.585405
10,838,15,27.77089
10,11,16,27.765678
10,2407,17,27.562542
10,1968,18,27.223845
10,2085,19,27.010643
11,527,0,21.814398
11,296,1,21.486176
11,34,2,20.525433
11,1079,3,16.844816
11,1617,4,13.938896
11,2324,5,13.54453
11,3147,6,13.165118
11,3252,7,13.061352
11,1041,8,12.728927
11,2291,9,12.561209
11,2028,10,12.402342
11,1641,11,12.346368
11,3408,12,12.100502
11,1270,13,11.99573
11,39,14,11.949369
11,265,15,11.673986
11,2908,16,11.620161
11,1968,17,11.267641
11,1393,18,11.10532
11,457,19,10.9827795
12,2858,0,34.772907
12,912,1,28.634754
12,318,2,28.119278
12,608,3,27.195114
12,260,4,26.980433
12,1196,5,22.90547
12,2028,6,22.324022
12,296,7,19.269184
12,1225,8,19.016459
12,923,9,18.882082
12,527,10,18.533197
12,2804,11,17.788605
12,1213,12,17.662512
12,1617,13,17.382502
12,1252,14,17.379272
12,2396,15,15.634615
12,1204,16,14.972751
12,50,17,14.843989
12,924,18,14.365965
12,1207,19,14.087777
13,733,0,116.565735
13,316,1,94.088806
13,1240,2,90.08823
13,2115,3,83.73615
13,1270,4,80.23857
13,377,5,75.470764
13,2406,6,71.79041
13,1676,7,66.37599
13,1375,8,66.01442
13,356,9,62.904243
13,2858,10,62.383392
13,1275,11,62.10616
13,1200,12,60.199432
13,1552,13,59.15768
13,969,14,57.72945
13,2393,15,56.57625
13,1214,16,56.221874
13,2193,17,56.02709
13,858,18,55.826965
13,2762,19,53.52999
14,3052,0,28.301182
14,3175,1,26.88847
14,3147,2,23.174976
14,2908,3,23.047556
14,3174,4,18.63401
14,2628,5,18.123518
14,3176,6,16.421883
14,1210,7,15.664233
14,2712,8,12.732007
14,3006,9,12.652476
14,1127,10,11.928238
14,3145,11,11.842612
14,2716,12,11.364088
14,3082,13,11.291388
14,3408,14,10.713103
14,3186,15,10.58623
14,2912,16,10.036176
14,2683,17,9.543806
14,2706,18,9.529375
14,593,19,9.525461
15,589,0,85.85305
15,608,1,82.809784
15,1721,2,78.42567
15,733,3,65.967125
15,1393,4,62.451645
15,150,5,60.234196
15,377,6,58.023952
15,3255,7,57.62309
15,1,8,55.230896
15,1358,9,54.78578
15,1682,10,52.74991
15,2329,11,49.50933
15,590,12,49.335957
15,223,13,47.988373
15,2890,14,47.33631
15,2599,15,47.214787
15,1584,16,46.578735
