user,item,position,weight
1,1196,0,0.0744482409215447
1,2858,1,0.0742459324568495
1,593,2,0.0665345996782566
1,1210,3,0.0653961560950684
1,1198,4,0.0637298858080066
1,318,5,0.0631722987404086
1,2396,6,0.0600524614519458
1,296,7,0.0596832820679756
1,589,8,0.0593481129185079
1,2571,9,0.0590172650550098
2,260,0,0.1831755770371854
2,608,1,0.1695260237346104
2,1270,2,0.1597953945123564
2,527,3,0.158373993190367
2,1580,4,0.1579807323866963
2,1197,5,0.1542197999069741
2,858,6,0.1529630954954832
2,296,7,0.1520655955827846
2,1617,8,0.1500500874441477
2,1097,9,0.1478624842243443
3,589,0,0.1052889026909245
3,2571,1,0.1035831183379496
3,2028,2,0.1016303297669801
3,1270,3,0.0975097026243226
3,110,4,0.094869971956254
3,608,5,0.0910389413241528
3,1240,6,0.0905678529973244
3,2916,7,0.0897066868234273
3,457,8,0.0892558688582945
3,1265,9,0.0876947129399466
4,589,0,0.0599722110106006
4,2571,1,0.0592769693730621
4,2858,2,0.0572834879809186
4,1580,3,0.0533955954993043
4,1240,4,0.0533030892063805
4,1270,5,0.0532828649488683
4,608,6,0.0532611208462001
4,593,7,0.0532257950868252
4,110,8,0.0532248340224207
4,1197,9,0.0511360189580479
5,2396,0,0.1765946976249126
5,1196,1,0.1762609304765665
5,527,2,0.1739823452474216
5,589,3,0.1718223298546736
5,260,4,0.1675002527986093
5,1265,5,0.1648466896736543
5,1210,6,0.1618468502688781
5,110,7,0.161061513457973
5,480,8,0.1581996975060257
5,1198,9,0.1566971585010152
6,1196,0,0.0745741203725646
6,1265,1,0.0712622640068957
6,260,2,0.0710179542878074
6,1197,3,0.0704316474229449
6,1270,4,0.0682296366493558
6,1198,5,0.0681182040757656
6,1580,6,0.064976566271591
6,480,7,0.0635566589775116
6,2028,8,0.0635258497839511
6,608,9,0.0632162713944843
7,260,0,0.0928893179007255
7,1210,1,0.0907823075430775
7,2858,2,0.0842897516908739
7,1198,3,0.0835116995350561
7,593,4,0.0786369983161592
7,1240,5,0.078353035916964
7,608,6,0.0781394256352735
7,2628,7,0.0752979774485515
7,1197,8,0.0746032494762368
7,1617,9,0.0722014722553812
8,593,0,0.1850753201409034
8,1196,1,0.1829940656727737
8,260,2,0.1732594632441104
8,318,3,0.1719859765192384
8,1617,4,0.1669147585993845
8,2762,5,0.1651745450129663
8,457,6,0.1627199444721596
8,1198,7,0.1573020173822442
8,2997,8,0.1493947316152019
